code,station
ac,Abcoude
ah,Arnhem
ahp,Arnhem Velperpoort
ahpr,Arnhem Presikhaaf
ahz,Arnhem Zuid
akl,Arkel
akm,Akkrum
alm,Almere Centrum
almb,Almere Buiten
almm,Almere Muziekwijk
almo,Almere Oostvaarders
almp,Almere Parkwijk
amf,Amersfoort Centraal
amfs,Amersfoort Schothorst
aml,Almelo
ampo,Almere Poort
amr,Alkmaar
amri,Almelo De Riet
amrn,Alkmaar Noord
ana,Anna Paulowna
apd,Apeldoorn
apdm,Apeldoorn De Maten
apdo,Apeldoorn Osseveld
apg,Appingedam
apn,Alphen aan den Rijn
arn,Arnemuiden
asa,Amsterdam Amstel
asb,Amsterdam Bijlmer ArenA
asd,Amsterdam Centraal
asdl,Amsterdam Lelylaan
asdm,Amsterdam Muiderpoort
asdz,Amsterdam Zuid
ashd,Amsterdam Holendrecht
asn,Assen
ass,Amsterdam Sloterdijk
assp,Amsterdam Science Park
atn,Aalten
avat,Amersfoort Vathorst
bd,Breda
bde,Bunde
bdg,Bodegraven
bdm,Bedum
bdpb,Breda-Prinsenbeek
bet,Best
bf,Baflo
bgn,Bergen op Zoom
bhdv,Boven Hardinxveld
bhv,Bilthoven
bk,Beek-Elsloo
bkf,Bovenkarspel Flora
bkg,Bovenkarspel-Grootebroek
bkl,Breukelen
bl,Beilen
bll,Bloemendaal
bmn,Brummen
bmr,Boxmeer
bn,Borne
bnc,Barneveld Centrum
bnk,Bunnik
bnn,Barneveld Noord
bnz,Barneveld Zuid
bp,Buitenpost
br,Blerick
brd,Barendrecht
brn,Baarn
bsd,Beesd
bsk,Boskoop
bsks,Boskoop Snijdelwijk
bsmz,Bussum Zuid
btl,Boxtel
bv,Beverwijk
bzl,Kapelle-Biezelinge
cas,Castricum
ck,Cuijk
cl,Culemborg
co,Coevorden
cps,Capelle Schollevaar
cvm,Chevremont
da,Daarlerveen
db,Driebergen-Zeist
ddn,Delden
ddr,Dordrecht
ddrs,Dordrecht Stadspolders
ddzd,Dordrecht Zuid
dei,Deinum
did,Didam
dl,Dalfsen
dld,Den Dolder
dln,Dalen
dmn,Diemen
dmnz,Diemen Zuid
dn,Deurne
dr,Dieren
drh,Driehuis
dron,Dronten
drp,Dronrijp
dt,Delft
dtc,Doetinchem
dtch,Doetinchem De Huet
dtcp,Delft Campus
dv,Deventer
dvc,Deventer Colmschate
dvd,Duivendrecht
dvn,Duiven
dvnk,De Vink
dwe,De Westereen
dz,Delfzijl
dzw,Delfzijl West
ec,Echt
ed,Ede-Wageningen
edc,Ede Centrum
edn,Eijsden
eem,Eemshaven
egh,Eygelshoven
eghm,Eygelshoven Markt
ehs,Eindhoven Strijp-S
ehv,Eindhoven
ekz,Enkhuizen
eml,Ermelo
emn,Emmen
emnz,Emmen Zuid
es,Enschede
ese,Enschede De Eschmarke
esk,Enschede Kennispark
est,Elst
etn,Etten-Leur
fn,Franeker
fwd,Feanwâlden
gbg,Gramsbergen
gbr,Glanerbrug
gd,Gouda
gdg,Gouda Goverwelle
gdm,Geldermalsen
gdr,Gaanderen
gerp,Groningen Europapark
gk,Grijpskerk
gln,Geleen Oost
gn,Groningen
gnd,Hardinxveld-Giessendam
gnn,Groningen Noord
go,Goor
gp,Geldrop
gr,Gorinchem
gs,Goes
gv,Den Haag HS
gvc,Den Haag Centraal
gvm,Den Haag Mariahoeve
gvmw,Den Haag Moerwijk
gw,Grou-Jirnsum
gz,Gilze-Rijen
had,Heemstede-Aerdenhout
hb,Hoensbroek
hbzm,Hardinxveld Blauwe Zoom
hd,Harderwijk
hdb,Hardenberg
hde,'t Harde
hdg,Hurdegaryp
hdr,Den Helder
hdrz,Den Helder Zuid
hfd,Hoofddorp
hgl,Hengelo
hglg,Hengelo Gezondheidspark
hglo,Hengelo Oost
hgv,Hoogeveen
hgz,Hoogezand-Sappemeer
hil,Hillegom
hk,Heemskerk
hks,Hoogkarspel
hlg,Harlingen
hlgh,Harlingen Haven
hlm,Haarlem
hlms,Haarlem Spaarnwoude
hlo,Heiloo
hm,Helmond
hmbh,Helmond Brouwhuis
hmbv,Helmond Brandevoort
hmh,Helmond 't Hout
hmn,Hemmen-Dodewaard
hn,Hoorn
hnk,Hoorn Kersenboogerd
hno,Heino
hnp,Hindeloopen
hon,Holten
hor,Hollandsche Rading
hr,Heerenveen
hrl,Heerlen
hrlw,Heerlen Woonboulevard
hrn,Haren
hrt,Horst-Sevenum
hry,Heerenveen IJsstadion
ht,'s-Hertogenbosch
htn,Houten
htnc,Houten Castellum
hto,'s-Hertogenbosch Oost
hvl,Hoevelaken
hvs,Hilversum
hvsm,Hilversum Media Park
hvsp,Hilversum Sportpark
hwd,Heerhugowaard
hwzb,Halfweg-Zwanenburg
hze,Heeze
ijt,IJlst
kbd,Krabbendijke
kbk,Klarenbeek
klp,Veenendaal-De Klomp
kma,Krommenie-Assendelft
kmr,Klimmen-Ransdaal
kmw,Koudum-Molkwerum
kpn,Kampen
kpnz,Kampen Zuid
krd,Kerkrade Centrum
krg,Kruiningen-Yerseke
ktr,Kesteren
kw,Kropswolde
kz,Koog aan de Zaan
laa,Den Haag Laan v NOI
lc,Lochem
ldl,Leiden Lammenschans
ldm,Leerdam
ledn,Leiden Centraal
lg,Landgraaf
lls,Lelystad Centrum
llzm,Lansingerland-Zoetermeer
lp,Loppersum
ltn,Lunteren
ltv,Lichtenvoorde-Groenlo
lut,Geleen-Lutterade
lw,Leeuwarden
lwc,Leeuwarden Camminghaburen
mas,Maarssen
mdb,Middelburg
mes,Meerssen
mg,Mantgum
mmlh,Mook Molenhoek
mp,Meppel
mrb,Mariënberg
mrn,Maarn
mt,Maastricht
mth,Martenshoek
mtn,Maastricht Noord
mtr,Maastricht Randwyck
mz,Maarheeze
na,Nieuw Amsterdam
ndb,Naarden-Bussum
nh,Nuth
nkk,Nijkerk
nm,Nijmegen
nmd,Nijmegen Dukenburg
nmg,Nijmegen Goffert
nmh,Nijmegen Heyendaal
nml,Nijmegen Lent
ns,Nunspeet
nsch,Bad Nieuweschans
nvd,Nijverdal
nvp,Nieuw Vennep
nwk,Nieuwerkerk a/d IJssel
o,oss
obd,Obdam
odb,Oudenbosch
odz,Oldenzaal
omn,Ommen
op,Opheusden
ost,Olst
ot,Oisterwijk
otb,Oosterbeek
ovn,Overveen
ow,Oss West
pmo,Purmerend Overwhere
pmr,Purmerend
pmw,Purmerend Weidevenne
pt,Putten
rai,Amsterdam RAI
rat,Raalte
rb,Rilland-Bath
rd,Roodeschool
rh,Rheden
rhn,Rhenen
rl,Ruurlo
rlb,Rotterdam Lombardijen
rm,Roermond
rs,Rosmalen
rsd,Roosendaal
rsn,Rijssen
rsw,Rijswijk
rta,Rotterdam Alexander
rtb,Rotterdam Blaak
rtd,Rotterdam Centraal
rtn,Rotterdam Noord
rtst,Rotterdam Stadion
rtz,Rotterdam Zuid
rv,Reuver
rvs,Ravenstein
sbk,Spaubeek
sd,Soestdijk
sda,Scheemda
sdm,Schiedam Centrum
sdt,Sliedrecht
sdtb,Sliedrecht Baanhoek
sgl,Houthem-Sint Gerlach
sgn,Schagen
shl,Schiphol Airport
sk,Sneek
sknd,Sneek Noord
sm,Swalmen
sn,Schinnen
sog,Schin op Geul
sptn,Santpoort Noord
sptz,Santpoort Zuid
srn,Susteren
ssh,Sassenheim
st,Soest
std,Sittard
stm,Stedum
stv,Stavoren
stz,Soest Zuid
swd,Sauwerd
swk,Steenwijk
tb,Tilburg
tbg,Terborg
tbr,Tilburg Reeshof
tbu,Tilburg Universiteit
tg,Tegelen
tl,Tiel
tpsw,Tiel Passewaaij
twl,Twello
uhm,Uithuizermeeden
uhz,Uithuizen
ust,Usquert
ut,Utrecht Centraal
utg,Uitgeest
utl,Utrecht Lunetten
utlr,Utrecht Leidsche Rijn
utm,Utrecht Maliebaan
uto,Utrecht Overvecht
utt,Utrecht Terwijde
utvr,Utrecht Vaartsche Rijn
utzl,Utrecht Zuilen
vb,Voorburg
vd,Vorden
vdl,Voerendaal
vdm,Veendam
vem,Voorst-Empe
vg,Vught
vh,Voorhout
vhp,Vroomshoop
vk,Valkenburg
vl,Venlo
vlb,Vierlingsbeek
vndc,Veenendaal Centrum
vndw,Veenendaal West
vp,Velp
vry,Venray
vs,Vlissingen
vss,Vlissingen Souburg
vst,Voorschoten
vsv,Varsseveld
vtn,Vleuten
vz,Vriezenveen
wad,Waddinxveen
wadn,Waddinxveen Noord
wadt,Waddinxveen Triangel
wc,Wijchen
wd,Woerden
wdn,Wierden
wf,Wolfheze
wfm,Warffum
wh,Wijhe
wk,Workum
wl,Wehl
wm,Wormerveer
wp,Weesp
ws,Winschoten
wsm,Winsum
wt,Weert
wtv,Westervoort
wv,Wolvega
ww,Winterswijk
www,Winterswijk West
wz,Wezep
ypb,Den Haag Ypenburg
za,Zetten-Andelst
zb,Zuidbroek
zbm,Zaltbommel
zd,Zaandam
zdk,Zaandam Kogerveld
zh,Zuidhorn
zl,Zwolle
zlsh,Zwolle Stadshagen
zlw,Lage Zwaluwe
zp,Zutphen
ztm,Zoetermeer
ztmo,Zoetermeer Oost
zv,Zevenaar
zvb,Zevenbergen
